Order_ID,Month,Product,Category,Quantity,Price
1001,Sep,Shoes,Fashion,16,2000
1002,Nov,Laptop,Electronics,37,50000
1003,Dec,Laptop,Electronics,45,50000
1004,Dec,Laptop,Electronics,11,50000
1005,Nov,Watch,Fashion,47,3000
1006,Nov,Refrigerator,Appliances,22,25000
1007,Jul,Watch,Fashion,47,3000
1008,Oct,TV,Electronics,43,35000
1009,Sep,TV,Electronics,35,35000
1010,May,TV,Electronics,39,35000
1011,Apr,Laptop,Electronics,27,50000
1012,Jun,Shoes,Fashion,34,2000
1013,Jun,Mobile,Electronics,47,15000
1014,Jul,TV,Electronics,28,35000
1015,Apr,Shoes,Fashion,32,2000
1016,Nov,Refrigerator,Appliances,16,25000
1017,Aug,Shoes,Fashion,30,2000
1018,May,Laptop,Electronics,44,50000
1019,Feb,Refrigerator,Appliances,10,25000
1020,Aug,TV,Electronics,45,35000
1021,Sep,TV,Electronics,49,35000
1022,Mar,Mobile,Electronics,13,15000
1023,Oct,Watch,Fashion,3,3000
1024,Feb,Shoes,Fashion,15,2000
1025,Sep,Refrigerator,Appliances,31,25000
1026,Dec,Watch,Fashion,4,3000
1027,May,Refrigerator,Appliances,48,25000
1028,Jul,Refrigerator,Appliances,19,25000
1029,Mar,Shoes,Fashion,20,2000
1030,Apr,Mobile,Electronics,3,15000
1031,Jan,Laptop,Electronics,40,50000
1032,Feb,Laptop,Electronics,41,50000
1033,Mar,Laptop,Electronics,14,50000
1034,Mar,Mobile,Electronics,47,15000
1035,May,Mobile,Electronics,7,15000
1036,Aug,Mobile,Electronics,35,15000
1037,Dec,Refrigerator,Appliances,33,25000
1038,May,Mobile,Electronics,2,15000
1039,Oct,Watch,Fashion,41,3000
1040,May,Refrigerator,Appliances,44,25000
1041,Jan,Laptop,Electronics,32,50000
1042,Apr,Refrigerator,Appliances,22,25000
1043,Aug,Refrigerator,Appliances,2,25000
1044,Jun,Shoes,Fashion,1,2000
1045,Nov,TV,Electronics,2,35000
1046,Sep,Refrigerator,Appliances,40,25000
1047,Feb,Watch,Fashion,3,3000
1048,Jun,TV,Electronics,20,35000
1049,May,Watch,Fashion,18,3000
1050,Jan,Laptop,Electronics,26,50000
1051,Apr,Mobile,Electronics,19,15000
1052,Sep,Laptop,Electronics,47,50000
1053,Apr,Watch,Fashion,47,3000
1054,May,TV,Electronics,42,35000
1055,Dec,Watch,Fashion,44,3000
1056,Nov,Refrigerator,Appliances,26,25000
1057,Aug,Laptop,Electronics,35,50000
1058,Oct,Shoes,Fashion,39,2000
1059,Mar,Refrigerator,Appliances,14,25000
1060,Apr,Shoes,Fashion,46,2000
1061,Jan,TV,Electronics,38,35000
1062,Oct,Shoes,Fashion,25,2000
1063,May,TV,Electronics,36,35000
1064,Nov,Mobile,Electronics,37,15000
1065,Jan,Refrigerator,Appliances,35,25000
1066,Oct,Shoes,Fashion,26,2000
1067,Sep,Laptop,Electronics,8,50000
1068,Aug,Watch,Fashion,6,3000
1069,May,Shoes,Fashion,4,2000
1070,Sep,Refrigerator,Appliances,14,25000
1071,Feb,TV,Electronics,11,35000
1072,Jan,TV,Electronics,44,35000
1073,Aug,Shoes,Fashion,2,2000
1074,Aug,Mobile,Electronics,40,15000
1075,Dec,TV,Electronics,10,35000
1076,Oct,Refrigerator,Appliances,21,25000
1077,May,Mobile,Electronics,16,15000
1078,Apr,Watch,Fashion,32,3000
1079,Sep,Watch,Fashion,50,3000
1080,Sep,Laptop,Electronics,4,50000
1081,Nov,Mobile,Electronics,17,15000
1082,Dec,Watch,Fashion,7,3000
1083,Sep,TV,Electronics,37,35000
1084,Feb,TV,Electronics,19,35000
1085,Jul,Shoes,Fashion,23,2000
1086,Jan,Refrigerator,Appliances,19,25000
1087,May,TV,Electronics,31,35000
